2246	4228	8
12	3470	3
1398	5039	18
2662	887	13
104	7329	18
2105	7602	3
115	1834	8
12	5830	18
12	4360	16
620	6790	13
3146	3766	28
585	7548	6
14	5868	14
1183	1053	33
116	5251	16
105	7812	2
135	6396	31
101	4011	19
657	1328	8
306	2767	9
2626	9774	6
4001	4269	22
1017	8485	0
3837	4067	8
12	6248	3
144	9891	11
18880	6739	1
2453	2439	23
3038	7944	14
132	3974	3
103	5134	1
20970	9945	12
101	8558	17
4149	6669	3
172	8131	12
4621	3495	2
116	8462	3
289	4120	3
3543	4322	7
112	9537	4
11920	4261	9
119	4274	4
5607	8643	17
6327	3310	8
1338	891	0
2644	8735	6
107	50	7
343	1248	2
14	9676	21
397	3012	16
114	5352	5
300	6608	14
797	5427	8
163	4323	35
128	1383	21
9	9402	25
7316	8104	4
12	1128	6
2297	830	27
26098	4109	4
107	5588	7
248	5973	8
102	5805	7
916	1521	4
1171	2330	13
158	2071	9
5219	119	5
108	25	15
1141	2848	8
14	7498	9
15114	930	2
2537	1587	6
941	6420	2
923	3989	3
290	4347	7
476	1452	0
1243	7621	5
231	1181	22
27282	6158	16
1680	5595	5
327	7525	0
821	3401	3
12	1129	18
117	6026	4
104	9071	26
1231	581	4
324	6373	7
110	2269	9
602	7279	12
12	8459	3
5833	1301	7
3190	1520	8
233	2073	4
741	5363	4
9755	8388	13
2746	7090	13
10996	1424	10
185	5729	0
194	7318	8
12	9348	23
12	5475	12
338	8353	4
731	741	1
4666	7696	4
102	6853	2
301	4330	34
2358	5389	14
251	2942	5
139	4414	1
1778	4551	11
225	3430	9
5931	3735	37
9164	6168	20
719	9136	10
12	1029	8
102	7114	18
4704	6325	4
132	7940	15
123	6428	0
1782	3309	17
209	3224	1
16978	2707	0
1270	2669	3
126	7353	8
109	6424	20
2	3407	48
31139	2774	14
830	8549	10
1578	449	3
3689	7782	2
8927	8850	23
31750	6821	15
14	642	28
4952	3624	3
2	4690	4
2490	4115	4
150	2727	18
527	2246	10
14	195	10
3838	4074	0
121	1521	6
336	1658	5
30143	3877	28
