253	4079	3	21.21
123	574	11	20.76
8	2352	4	7.84
1732	122	4	9.29
1376	166	3	9
4801	1577	3	35.62
524	218	4	10.42
101	187	84	18.23
2441	127	3	8.8
188	976	3	7.6
107	572	22	32.85
2	2954	3	8.09
611	609	3	12.93
135	1103	4	8.71
457	128	7	8.01
569	103	26	28.53
113	543	9	7.18
3301	119	3	8.58
228	114	19	10.74
590	305	4	16.27
319	1055	3	13.63
534	186	5	12.24
326	5524	3	29.99
2	217	21	19.36
175	943	6	28.39
1510	101	11	7.73
1075	522	3	15.55
1269	141	5	16.33
109	7109	3	13
429	201	4	8.34
225	431	4	8
1234	2782	3	28.65
733	638	3	14.49
582	413	3	10.87
5238	101	4	7.75
212	767	3	7.7
131	485	6	8.06
108	125	105	19.7
641	4517	4	45.24
360	213	7	20.32
1965	114	5	11.73
166	598	5	11.95
141	217	12	14.1
915	114	7	9
805	350	5	24.38
125	1029	5	8.42
101	3863	5	9.69
115	614	9	10.15
1154	5849	3	38.83
493	398	3	10.46
282	285	4	8.14
138	675	5	8.06
516	408	4	15.77
110	640	9	7.45
221	227	12	37.14
668	554	3	12.69
103	919	15	16.75
4143	109	3	6.76
192	791	3	7.86
607	218	5	15.72
110	850	7	6.72
1630	110	7	14.73
1506	164	5	23.72
217	104	36	9.51
2961	428	3	22.83
216	1027	3	9.13
107	1278	9	11.51
489	262	3	6.82
1465	234	3	13.28
108	5159	3	7.16
1643	107	6	6.7
412	590	3	11.74
2182	131	4	15.3
304	595	3	8.78
1637	593	3	19.37
102	205	63	6.98
418	102	35	18.6
1608	145	9	49.45
7	830	3	9.73
433	282	3	6.64
16	1016	3	7.39
572	339	3	9.51
433	332	3	7.49
5162	102	4	8.19
158	216	29	103.18
3552	122	3	10.32
122	176	17	8.42
544	12	29	6.83
287	194	5	7.98
231	211	13	36.11
460	164	22	118.7
182	521	4	7.27
4409	107	3	6.97
122	126	41	17.06
433	198	4	7.26
1609	813	3	21.34
2212	257	7	52.95
165	239	7	8.24
310	416	3	7.32
9	295	15	7.28
2	3981	4	18.03
4867	888	3	36.32
2	4153	3	10.69
121	953	6	11
332	170	6	10.14
115	2341	4	9.65
108	2729	6	14.34
101	1131	14	7.08
2555	110	7	26.9
1914	8	6	13.03
1426	103	10	14.52
866	584	3	14.85
144	114	54	51.49
494	927	3	14.22
745	112	32	159.97
317	497	3	8.37
112	2869	4	10.83
5351	2182	4	58.23
162	661	4	8.4
1198	5053	3	33.27
1881	824	3	22.62
521	179	4	7.69
1576	121	4	8.36
107	3719	4	10.18
131	233	19	36.55
701	629	5	28.21
102	4937	4	8.19
101	4000	4	7.75
153	674	6	15.66
235	1268	3	11.24
177	2997	3	15.32
154	1279	3	7.68
172	1028	4	12.63
292	197	7	14.99
495	4545	4	43.59
3840	819	4	48.61
258	119	19	19.4
271	226	6	11.58
2	469	13	22.13
349	206	5	10.15
5343	101	4	7.75
1321	125	4	6.89
657	1221	3	18.09
271	125	11	8.94
9	3754	4	13.89
5819	571	3	33.36
204	160	8	7.54
1243	194	3	9.27
116	3713	3	9.73
3369	2	3	9.22
627	4516	3	29.35
232	284	7	18.48
128	2064	3	7.62
217	1262	3	12.04
242	2200	3	15.29
109	3185	4	8.51
380	639	3	10.67
715	1023	3	17.15
1131	241	3	10.36
245	187	8	14.11
698	4463	4	47.94
2447	102	7	9.19
900	107	11	10.51
101	4329	5	9.69
1259	957	4	31.39
259	523	3	7.18
120	102	211	13.97
105	742	14	12.47
130	716	9	21.41
652	725	3	15.41
107	4621	3	6.97
107	2552	6	13.95
120	248	12	7.68
7273	104	3	10.47
694	1199	3	17.57
8	12	597	9.9
410	211	5	11.51
1385	964	3	23.47
106	2708	6	13.17
183	813	3	7.03
163	185	11	13.18
295	2091	3	18.11
368	718	4	17.84
12	2938	7	9.07
2803	2025	3	31.2
996	248	5	23.17
1143	288	3	12.37
215	296	5	9.19
239	1078	3	10.23
371	387	11	62.62
371	446	3	8.86
2088	9	5	10.52
1001	128	6	13.04
178	481	4	6.83
2661	119	3	7.47
245	735	3	9.52
601	141	6	11.83
523	303	5	18.76
159	368	6	11.45
3710	240	4	36.53
133	6413	3	20.57
208	2132	3	14
5452	326	3	29.99
523	245	3	6.69
1999	384	3	18.05
12	128	268	33.12
1267	1561	3	29.55
168	146	12	10.34
869	794	3	17.67
12	201	91	15.24
101	1758	10	8.19
2768	108	5	9.3
101	1638	11	9.63
404	387	5	19.68
1329	529	3	17.04
103	161	66	15.7
1554	114	6	12.36
241	17	7	11.65
269	167	6	9.17
1276	1722	9	110.29
287	643	4	15.02
103	242	53	35.97
171	224	7	7.35
133	1374	6	19.83
112	1089	6	7.3
357	346	32	252.95
478	1028	3	15.29
1066	259	3	11.04
639	445	3	11.52
127	2216	3	8.02
120	1364	4	7.06
853	376	3	12.29
125	271	11	8.94
107	3269	4	7.88
108	6992	3	11.34
153	166	10	7.88
206	183	12	24.94
1038	12	22	21.79
665	143	8	21.54
3349	756	3	26.46
1268	124	6	14.56
11	16	5	23.89
153	102	107	20.1
354	1407	3	15.17
3173	133	4	18.07
109	140	49	9.73
142	12	174	21.87
379	493	3	10.15
253	823	3	9.52
638	802	7	48.86
105	1637	7	8
102	2609	6	7.43
1148	5680	3	37.76
372	423	4	14.16
108	798	11	9.64
581	156	6	15.55
1418	3783	3	40.12
1229	599	3	17.4
889	12	22	10.05
1719	104	7	8.79
107	5487	3	11.13
156	1208	3	9.72
114	1603	5	9.1
3397	124	3	11.59
180	609	4	8.55
135	1360	3	6.92
148	2519	3	11.54
104	1474	8	8.81
1440	386	4	23.62
4	507	6	34.12
2335	164	3	14.01
5119	108	3	7.16
977	783	3	17.46
2758	141	3	11.43
121	139	26	8.59
635	528	3	13.35
1697	108	8	14.56
1125	112	6	8.38
125	4847	3	14.08
849	371	7	42.21
105	3611	5	12.67
102	663	25	18.25
305	123	13	17.6
2880	8	4	10.86
556	215	4	9.58
110	137	70	44.86
